Combination,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference,Ratio Children:Adults used(%),Fisher's Exact Test,p-Value,Success
water + fire,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
air + earth,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
fire + air,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
energy + steam,1,0,1,120,75,45,1,0,2,2,0:100,0.0,0.38,False
water + energy,1,0,1,132,81,51,1,0,2,2,0:100,0.0,0.39,True
earth + energy,1,0,1,132,81,51,1,0,2,2,0:100,0.0,0.39,True
earthquake + water,1,0,1,77,45,32,1,0,3,3,0:100,0.0,0.42,False
fire + steam,1,0,1,150,102,48,1,0,2,2,0:100,0.0,0.32,False
water + earth,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
steam + mud,1,0,1,122,84,38,1,0,3,3,0:100,0.0,0.31,False
earthquake + mud,1,0,1,63,38,25,2,0,4,4,0:100,0.0,0.4,False
dust + earthquake,1,0,1,57,36,21,2,0,5,5,0:100,0.0,0.37,False
energy + mud,1,0,1,107,66,41,1,0,2,2,0:100,0.0,0.38,False
water + air,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
water + dust,1,0,1,125,88,37,1,0,3,3,0:100,0.0,0.3,False
water + mud,1,0,1,134,90,44,1,0,2,2,0:100,0.0,0.33,False
water + steam,1,0,1,150,102,48,1,0,2,2,0:100,0.0,0.32,False
mud + rain,1,0,1,120,80,40,1,0,2,2,0:100,0.0,0.33,False
fire + earth,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
lava + water,1,0,1,144,100,44,1,0,2,2,0:100,0.0,0.31,True
obsidian + water,1,0,1,85,59,26,1,0,4,4,0:100,0.0,0.31,False
rain + obsidian,1,0,1,74,51,23,1,0,4,4,0:100,0.0,0.31,False
earthquake + obsidian,1,0,1,44,28,16,2,0,6,6,0:100,0.0,0.36,False
earthquake + lava,1,0,1,68,42,26,1,0,4,4,0:100,0.0,0.38,False
lava + air,1,0,1,144,100,44,1,0,2,2,0:100,0.0,0.31,True
earthquake + stone,1,0,1,33,19,14,3,0,7,7,0:100,0.0,0.42,False
fire + stone,1,0,1,63,39,24,2,0,4,4,0:100,0.0,0.38,True
metal + energy,1,0,1,24,13,11,4,0,9,9,0:100,0.0,0.46,True
water + electricity,1,0,1,17,9,8,6,0,12,12,0:100,0.0,0.47,False
stone + electricity,1,0,1,17,9,8,6,0,12,12,0:100,0.0,0.47,False
fire + metal,1,0,1,31,19,12,3,0,8,8,0:100,0.0,0.39,False
metal + lava,1,0,1,31,19,12,3,0,8,8,0:100,0.0,0.39,False
metal + obsidian,1,0,1,17,10,7,6,0,14,14,0:100,0.0,0.41,False
fire + water,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
earth + water,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
energy + water,1,0,1,132,81,51,1,0,2,2,0:100,0.0,0.39,True
fire + energy,1,0,1,132,81,51,1,0,2,2,0:100,0.0,0.39,False
fire + lava,1,0,1,144,100,44,1,0,2,2,0:100,0.0,0.31,False
fire + mud,1,0,1,134,90,44,1,0,2,2,0:100,0.0,0.33,True
fire + brick,1,0,1,74,48,26,1,0,4,4,0:100,0.0,0.35,False
water + brick,1,0,1,74,48,26,1,0,4,4,0:100,0.0,0.35,False
water + lava,1,0,1,144,100,44,1,0,2,2,0:100,0.0,0.31,True
water + obsidian,1,0,1,85,59,26,1,0,4,4,0:100,0.0,0.31,False
water + rain,1,0,1,147,96,51,1,0,2,2,0:100,0.0,0.35,False
earth + air,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
air + brick,1,0,1,74,48,26,1,0,4,4,0:100,0.0,0.35,False
air + dust,1,0,1,125,88,37,1,0,3,3,0:100,0.0,0.3,False
air + energy,1,0,1,132,81,51,1,0,2,2,0:100,0.0,0.39,True
air + lava,1,0,1,144,100,44,1,0,2,2,0:100,0.0,0.31,True
air + mud,1,0,1,134,90,44,1,0,2,2,0:100,0.0,0.33,False
air + obsidian,1,0,1,85,59,26,1,0,4,4,0:100,0.0,0.31,False
air + rain,1,0,1,147,96,51,1,0,2,2,0:100,0.0,0.35,False
air + steam,1,0,1,150,102,48,1,0,2,2,0:100,0.0,0.32,True
air + stone,1,0,1,63,39,24,2,0,4,4,0:100,0.0,0.38,True
air + sand,1,0,1,25,13,12,4,0,8,8,0:100,0.0,0.48,False
air + wind,1,0,1,81,43,38,1,0,3,3,0:100,0.0,0.47,False
fire + wind,1,0,1,81,43,38,1,0,3,3,0:100,0.0,0.47,False
fire + sand,1,0,1,25,13,12,4,0,8,8,0:100,0.0,0.48,True
fire + rain,1,0,1,147,96,51,1,0,2,2,0:100,0.0,0.35,False
fire + obsidian,1,0,1,85,59,26,1,0,4,4,0:100,0.0,0.31,False
fire + glass,1,0,1,12,6,6,8,0,17,17,0:100,0.0,1.0,False
glass + glass,1,0,1,12,6,6,8,0,17,17,0:100,0.0,1.0,True
glass + water,1,0,1,12,6,6,8,0,17,17,0:100,0.0,1.0,True
metal + glasses,1,1,0,4,2,2,25,50,0,50,100:0,inf,1.0,False
water + water,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
fire + fire,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,False
earth + earth,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
air + air,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
aquarium + aquarium,1,0,1,9,5,4,11,0,25,25,0:100,0.0,0.44,False
brick + brick,1,0,1,74,48,26,1,0,4,4,0:100,0.0,0.35,True
wall + wall,1,0,1,28,17,11,4,0,9,9,0:100,0.0,0.39,True
house + house,1,0,1,23,15,8,4,0,12,12,0:100,0.0,0.35,True
village + village,1,0,1,22,15,7,5,0,14,14,0:100,0.0,0.32,True
city + city,1,0,1,22,14,8,5,0,12,12,0:100,0.0,0.36,False
cloud + cloud,1,0,1,73,51,22,1,0,5,5,0:100,0.0,0.3,False
dust + dust,1,0,1,125,88,37,1,0,3,3,0:100,0.0,0.3,False
steam + cloud,1,0,1,73,51,22,1,0,5,5,0:100,0.0,0.3,False
air + cloud,1,0,1,73,51,22,1,0,5,5,0:100,0.0,0.3,True
rain + cloud,1,0,1,67,46,21,1,0,5,5,0:100,0.0,0.31,False
energy + cloud,1,0,1,54,34,20,2,0,5,5,0:100,0.0,0.37,True
storm + storm,1,0,1,26,17,9,4,0,11,11,0:100,0.0,0.35,False
rain + storm,1,0,1,26,17,9,4,0,11,11,0:100,0.0,0.35,False
energy + energy,1,0,1,132,81,51,1,0,2,2,0:100,0.0,0.39,False
glasses + glasses,1,0,1,5,3,2,20,0,50,50,0:100,0.0,0.4,False
lava + lava,1,0,1,144,100,44,1,0,2,2,0:100,0.0,0.31,False
metal + metal,1,0,1,31,19,12,3,0,8,8,0:100,0.0,0.39,False
mud + mud,1,0,1,134,90,44,1,0,2,2,0:100,0.0,0.33,False
obsidian + obsidian,1,0,1,85,59,26,1,0,4,4,0:100,0.0,0.31,False
pressure + pressure,1,0,1,63,42,21,2,0,5,5,0:100,0.0,0.33,False
rain + rain,1,0,1,147,96,51,1,0,2,2,0:100,0.0,0.35,True
sand + sand,1,0,1,25,13,12,4,0,8,8,0:100,0.0,0.48,True
desert + desert,1,0,1,6,4,2,17,0,50,50,0:100,0.0,0.33,False
sea + sea,1,0,1,61,40,21,2,0,5,5,0:100,0.0,0.34,True
ocean + ocean,1,0,1,37,24,13,3,0,8,8,0:100,0.0,0.35,False
mud + earth,1,0,1,134,90,44,1,0,2,2,0:100,0.0,0.33,False
flood + flood,1,0,1,36,24,12,3,0,8,8,0:100,0.0,0.33,False
mud + flood,1,0,1,32,20,12,3,0,8,8,0:100,0.0,0.38,False
rain + sand,1,0,1,24,13,11,4,0,9,9,0:100,0.0,0.46,False
sea + sky,1,0,1,17,10,7,6,0,14,14,0:100,0.0,0.41,True
horizon + horizon,1,0,1,18,9,9,6,0,11,11,0:100,0.0,1.0,False
cloud + horizon,1,1,0,18,9,9,6,11,0,11,100:0,inf,1.0,False
storm + horizon,1,1,0,9,3,6,11,33,0,33,100:0,inf,0.33,False
cloud + storm,1,0,1,26,17,9,4,0,11,11,0:100,0.0,0.35,False
stone + stone,1,0,1,63,39,24,2,0,4,4,0:100,0.0,0.38,False
earth + stone,1,0,1,63,39,24,2,0,4,4,0:100,0.0,0.38,False
metal + stone,1,0,1,31,19,12,3,0,8,8,0:100,0.0,0.39,True
blade + blade,1,0,1,13,6,7,8,0,14,14,0:100,0.0,1.0,True
scissors + scissors,1,0,1,7,3,4,14,0,25,25,0:100,0.0,1.0,False
stone + scissors,1,1,0,7,3,4,14,33,0,33,100:0,inf,0.43,False
brick + scissors,1,0,1,6,3,3,17,0,33,33,0:100,0.0,1.0,False
mud + scissors,1,1,0,7,3,4,14,33,0,33,100:0,inf,0.43,False
steam + pressure,1,0,1,58,38,20,2,0,5,5,0:100,0.0,0.34,False
fire + pressure,1,0,1,63,42,21,2,0,5,5,0:100,0.0,0.33,False
water + pressure,1,0,1,63,42,21,2,0,5,5,0:100,0.0,0.33,False
dust + desert,1,1,0,6,4,2,17,25,0,25,100:0,inf,1.0,False
rain + dust,1,0,1,108,75,33,1,0,3,3,0:100,0.0,0.31,False
energy + dust,1,0,1,96,63,33,1,0,3,3,0:100,0.0,0.34,False
glass + glasses,1,1,0,5,3,2,20,33,0,33,100:0,inf,1.0,False
wind + wind,1,0,1,81,43,38,1,0,3,3,0:100,0.0,0.47,False
storm + wind,1,1,0,16,7,9,6,14,0,14,100:0,inf,0.44,False
ocean + water,1,0,1,37,24,13,3,0,8,8,0:100,0.0,0.35,False
house + energy,1,0,1,21,13,8,5,0,12,12,0:100,0.0,0.38,False
city + energy,1,0,1,20,12,8,5,0,12,12,0:100,0.0,0.4,False
desert + sand,1,1,0,6,4,2,17,25,0,25,100:0,inf,1.0,False
water + aquarium,1,0,1,9,5,4,11,0,25,25,0:100,0.0,0.44,False
blade + aquarium,1,1,0,4,2,2,25,50,0,50,100:0,inf,1.0,False
blade + dust,1,0,1,11,6,5,9,0,20,20,0:100,0.0,0.45,False
glass + flood,1,1,0,5,3,2,20,33,0,33,100:0,inf,1.0,False
horizon + glasses,1,1,0,2,1,1,50,100,0,100,100:0,inf,1.0,False
scissors + metal,1,0,1,7,3,4,14,0,25,25,0:100,0.0,1.0,False
blade + obsidian,1,0,1,9,4,5,11,0,20,20,0:100,0.0,1.0,False
rain + sky,1,0,1,40,28,12,2,0,8,8,0:100,0.0,0.3,False
horizon + sky,1,1,0,18,9,9,6,11,0,11,100:0,inf,1.0,False
dust + earth,1,0,1,125,88,37,1,0,3,3,0:100,0.0,0.3,False
ocean + dust,1,1,0,29,18,11,3,6,0,6,100:0,inf,1.0,False
scissors + water,1,1,0,7,3,4,14,33,0,33,100:0,inf,0.43,False
sky + water,1,0,1,45,32,13,2,0,8,8,0:100,0.0,0.29,False
village + water,1,0,1,22,15,7,5,0,14,14,0:100,0.0,0.32,False
wall + water,1,0,1,28,17,11,4,0,9,9,0:100,0.0,0.39,False
metal + wall,1,1,0,7,2,5,14,50,0,50,100:0,inf,0.29,False
glass + wind,1,1,0,10,4,6,10,25,0,25,100:0,inf,0.4,False
brick + wall,1,0,1,28,17,11,4,0,9,9,0:100,0.0,0.39,False
lava + energy,1,0,1,111,73,38,1,0,3,3,0:100,0.0,0.34,False
sea + fire,1,0,1,61,40,21,2,0,5,5,0:100,0.0,0.34,True
dust + salt,1,0,1,27,17,10,4,0,10,10,0:100,0.0,0.37,False
sea + salt,1,0,1,30,20,10,3,0,10,10,0:100,0.0,0.33,False
air + fire,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
sky + sky,1,0,1,45,32,13,2,0,8,8,0:100,0.0,0.29,False
earth + sky,1,0,1,45,32,13,2,0,8,8,0:100,0.0,0.29,True
cloud + dust,1,0,1,53,39,14,2,0,7,7,0:100,0.0,0.26,False
horizon + energy,1,0,1,15,6,9,7,0,11,11,0:100,0.0,1.0,False
cloud + water,1,0,1,73,51,22,1,0,5,5,0:100,0.0,0.3,True
cloud + fire,1,0,1,73,51,22,1,0,5,5,0:100,0.0,0.3,False
cloud + earth,1,0,1,73,51,22,1,0,5,5,0:100,0.0,0.3,True
rain + fog,1,1,0,17,12,5,6,8,0,8,100:0,inf,1.0,False
horizon + fog,1,0,1,4,1,3,25,0,33,33,0:100,0.0,1.0,False
fog + fog,1,0,1,20,14,6,5,0,17,17,0:100,0.0,0.3,False
fog + air,1,1,0,20,14,6,5,7,0,7,100:0,inf,1.0,False
fog + steam,1,0,1,20,14,6,5,0,17,17,0:100,0.0,0.3,False
steam + horizon,1,1,0,18,9,9,6,11,0,11,100:0,inf,1.0,False
salt + rain,1,0,1,29,19,10,3,0,10,10,0:100,0.0,0.34,False
sky + salt,1,1,0,9,6,3,11,17,0,17,100:0,inf,1.0,False
steam + energy,1,0,1,120,75,45,1,0,2,2,0:100,0.0,0.38,False
sky + horizon,1,1,0,18,9,9,6,11,0,11,100:0,inf,1.0,False
steam + steam,1,0,1,150,102,48,1,0,2,2,0:100,0.0,0.32,False
rain + steam,1,0,1,131,89,42,1,0,2,2,0:100,0.0,0.32,False
pressure + rain,1,0,1,56,37,19,2,0,5,5,0:100,0.0,0.34,False
energy + pressure,1,0,1,52,33,19,2,0,5,5,0:100,0.0,0.37,False
sea + pressure,1,0,1,53,34,19,2,0,5,5,0:100,0.0,0.36,False
pressure + fire,1,0,1,63,42,21,2,0,5,5,0:100,0.0,0.33,False
pressure + water,1,0,1,63,42,21,2,0,5,5,0:100,0.0,0.33,False
horizon + pressure,1,1,0,8,4,4,12,25,0,25,100:0,inf,1.0,False
pressure + cloud,1,0,1,30,20,10,3,0,10,10,0:100,0.0,0.33,False
sky + pressure,1,0,1,20,13,7,5,0,14,14,0:100,0.0,0.35,True
atmosphere + cloud,1,0,1,15,10,5,7,0,20,20,0:100,0.0,0.33,False
atmosphere + sea,1,0,1,20,12,8,5,0,12,12,0:100,0.0,0.4,False
atmosphere + air,1,0,1,25,16,9,4,0,11,11,0:100,0.0,0.36,False
fire + atmosphere,1,0,1,25,16,9,4,0,11,11,0:100,0.0,0.36,False
energy + atmosphere,1,0,1,19,11,8,5,0,12,12,0:100,0.0,0.42,False
atmosphere + atmosphere,1,0,1,25,16,9,4,0,11,11,0:100,0.0,0.36,False
salt + atmosphere,1,1,0,9,4,5,11,25,0,25,100:0,inf,0.44,False
pressure + atmosphere,1,0,1,25,16,9,4,0,11,11,0:100,0.0,0.36,False
horizon + sea,1,0,1,9,4,5,11,0,20,20,0:100,0.0,1.0,False
salt + cloud,1,1,0,12,8,4,8,12,0,12,100:0,inf,1.0,False
atmosphere + dust,1,1,0,20,12,8,5,8,0,8,100:0,inf,1.0,False
horizon + atmosphere,1,1,0,3,2,1,33,50,0,50,100:0,inf,1.0,False
atmosphere + storm,1,1,0,3,3,0,33,33,0,33,100:0,nan,1.0,False
sky + storm,1,0,1,16,9,7,6,0,14,14,0:100,0.0,0.44,False
steam + storm,1,0,1,26,17,9,4,0,11,11,0:100,0.0,0.35,False
pressure + storm,1,1,0,10,7,3,10,14,0,14,100:0,inf,1.0,False
storm + air,1,0,1,26,17,9,4,0,11,11,0:100,0.0,0.35,False
storm + fire,1,0,1,26,17,9,4,0,11,11,0:100,0.0,0.35,False
storm + water,1,0,1,26,17,9,4,0,11,11,0:100,0.0,0.35,False
storm + energy,1,0,1,26,17,9,4,0,11,11,0:100,0.0,0.35,False
rain + fire,1,0,1,147,96,51,1,0,2,2,0:100,0.0,0.35,False
salt + storm,1,1,0,6,5,1,17,20,0,20,100:0,inf,1.0,False
storm + earth,1,0,1,26,17,9,4,0,11,11,0:100,0.0,0.35,False
storm + cloud,1,0,1,26,17,9,4,0,11,11,0:100,0.0,0.35,False
storm + fog,1,1,0,8,6,2,12,17,0,17,100:0,inf,1.0,False
storm + dust,1,0,1,17,12,5,6,0,20,20,0:100,0.0,0.29,False
dust + energy,1,0,1,96,63,33,1,0,3,3,0:100,0.0,0.34,False
storm + sea,1,1,0,13,9,4,8,11,0,11,100:0,inf,1.0,False
earth + rain,1,0,1,147,96,51,1,0,2,2,0:100,0.0,0.35,True
plant + water,1,0,1,69,39,30,1,0,3,3,0:100,0.0,0.43,True
algae + water,1,0,1,45,26,19,2,0,5,5,0:100,0.0,0.42,False
energy + rain,1,0,1,117,72,45,1,0,2,2,0:100,0.0,0.38,False
energy + obsidian,1,1,0,69,45,24,1,2,0,2,100:0,inf,1.0,False
obsidian + fire,1,0,1,85,59,26,1,0,4,4,0:100,0.0,0.31,False
steam + fire,1,0,1,150,102,48,1,0,2,2,0:100,0.0,0.32,False
earth + steam,1,0,1,150,102,48,1,0,2,2,0:100,0.0,0.32,True
geyser + lava,1,0,1,55,34,21,2,0,5,5,0:100,0.0,0.38,False
algae + sea,1,0,1,20,11,9,5,0,11,11,0:100,0.0,0.45,False
plant + rain,1,0,1,69,39,30,1,0,3,3,0:100,0.0,0.43,False
earth + plant,1,0,1,69,39,30,1,0,3,3,0:100,0.0,0.43,True
grass + rain,1,0,1,38,21,17,3,0,6,6,0:100,0.0,0.45,False
sea + steam,1,0,1,55,36,19,2,0,5,5,0:100,0.0,0.35,False
geyser + grass,1,0,1,19,13,6,5,0,17,17,0:100,0.0,0.32,False
grass + plant,1,0,1,38,21,17,3,0,6,6,0:100,0.0,0.45,True
steam + rain,1,0,1,131,89,42,1,0,2,2,0:100,0.0,0.32,False
water + sea,1,0,1,61,40,21,2,0,5,5,0:100,0.0,0.34,True
rain + garden,1,0,1,29,17,12,3,0,8,8,0:100,0.0,0.41,False
garden + grass,1,0,1,21,11,10,5,0,10,10,0:100,0.0,0.48,False
obsidian + geyser,1,0,1,39,25,14,3,0,7,7,0:100,0.0,0.36,False
energy + sea,1,0,1,54,35,19,2,0,5,5,0:100,0.0,0.35,False
lava + grass,1,1,0,31,20,11,3,5,0,5,100:0,inf,1.0,False
earth + algae,1,0,1,45,26,19,2,0,5,5,0:100,0.0,0.42,False
geyser + steam,1,0,1,61,37,24,2,0,4,4,0:100,0.0,0.39,False
grass + energy,1,0,1,29,16,13,3,0,8,8,0:100,0.0,0.45,False
grass + fire,1,0,1,38,21,17,3,0,6,6,0:100,0.0,0.45,False
garden + fire,1,0,1,29,17,12,3,0,8,8,0:100,0.0,0.41,False
energy + geyser,1,0,1,48,25,23,2,0,4,4,0:100,0.0,0.48,False
obsidian + lava,1,0,1,85,59,26,1,0,4,4,0:100,0.0,0.31,False
lava + earth,1,0,1,144,100,44,1,0,2,2,0:100,0.0,0.31,True
water + volcano,1,0,1,77,53,24,1,0,4,4,0:100,0.0,0.31,False
garden + air,1,1,0,29,17,12,3,6,0,6,100:0,inf,1.0,False
air + algae,1,0,1,45,26,19,2,0,5,5,0:100,0.0,0.42,False
air + ocean,1,0,1,37,24,13,3,0,8,8,0:100,0.0,0.35,False
air + plant,1,0,1,69,39,30,1,0,3,3,0:100,0.0,0.43,False
garden + ocean,1,1,0,13,6,7,8,17,0,17,100:0,inf,0.46,False
geyser + volcano,1,0,1,32,22,10,3,0,10,10,0:100,0.0,0.31,False
obsidian + volcano,1,0,1,48,34,14,2,0,7,7,0:100,0.0,0.29,False
volcano + volcano,1,0,1,77,53,24,1,0,4,4,0:100,0.0,0.31,False
plant + plant,1,0,1,69,39,30,1,0,3,3,0:100,0.0,0.43,True
geyser + geyser,1,0,1,61,37,24,2,0,4,4,0:100,0.0,0.39,False
geyser + fire,1,0,1,61,37,24,2,0,4,4,0:100,0.0,0.39,False
mud + geyser,1,0,1,51,31,20,2,0,5,5,0:100,0.0,0.39,False
air + geyser,1,0,1,61,37,24,2,0,4,4,0:100,0.0,0.39,False
mud + air,1,0,1,134,90,44,1,0,2,2,0:100,0.0,0.33,False
energy + air,1,0,1,132,81,51,1,0,2,2,0:100,0.0,0.39,True
wind + mud,1,0,1,72,38,34,1,0,3,3,0:100,0.0,0.47,False
wind + energy,1,0,1,81,43,38,1,0,3,3,0:100,0.0,0.47,True
geyser + wind,1,0,1,33,17,16,3,0,6,6,0:100,0.0,0.48,False
geyser + energy,1,0,1,48,25,23,2,0,4,4,0:100,0.0,0.48,False
steam + hurricane,1,0,1,45,22,23,2,0,4,4,0:100,0.0,1.0,False
geyser + water,1,0,1,61,37,24,2,0,4,4,0:100,0.0,0.39,False
earth + hurricane,1,0,1,50,24,26,2,0,4,4,0:100,0.0,1.0,False
air + water,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
mud + water,1,0,1,134,90,44,1,0,2,2,0:100,0.0,0.33,False
water + hurricane,1,0,1,50,24,26,2,0,4,4,0:100,0.0,1.0,False
rain + water,1,0,1,147,96,51,1,0,2,2,0:100,0.0,0.35,False
wind + water,1,0,1,81,43,38,1,0,3,3,0:100,0.0,0.47,False
earth + fire,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
hurricane + fire,1,0,1,50,24,26,2,0,4,4,0:100,0.0,1.0,False
lava + fire,1,0,1,144,100,44,1,0,2,2,0:100,0.0,0.31,False
mud + fire,1,0,1,134,90,44,1,0,2,2,0:100,0.0,0.33,True
lava + brick,1,0,1,67,45,22,1,0,5,5,0:100,0.0,0.33,False
brick + energy,1,0,1,58,35,23,2,0,4,4,0:100,0.0,0.4,False
geyser + brick,1,0,1,27,13,14,4,0,7,7,0:100,0.0,1.0,False
mud + brick,1,0,1,74,48,26,1,0,4,4,0:100,0.0,0.35,False
rain + brick,1,0,1,66,42,24,2,0,4,4,0:100,0.0,0.36,False
wind + brick,1,0,1,41,21,20,2,0,5,5,0:100,0.0,0.49,False
brick + steam,1,0,1,71,47,24,1,0,4,4,0:100,0.0,0.34,False
hurricane + energy,1,0,1,50,24,26,2,0,4,4,0:100,0.0,1.0,False
rain + wind,1,0,1,69,36,33,1,0,3,3,0:100,0.0,0.48,False
lava + mud,1,0,1,115,83,32,1,0,3,3,0:100,0.0,0.28,False
lava + wind,1,0,1,68,39,29,1,0,3,3,0:100,0.0,0.43,False
wind + hurricane,1,0,1,50,24,26,2,0,4,4,0:100,0.0,1.0,False
rain + air,1,0,1,147,96,51,1,0,2,2,0:100,0.0,0.35,False
lava + geyser,1,0,1,55,34,21,2,0,5,5,0:100,0.0,0.38,False
lava + rain,1,0,1,126,88,38,1,0,3,3,0:100,0.0,0.3,False
rain + earth,1,0,1,147,96,51,1,0,2,2,0:100,0.0,0.35,True
rain + plant,1,0,1,69,39,30,1,0,3,3,0:100,0.0,0.43,False
mud + plant,1,0,1,56,32,24,2,0,4,4,0:100,0.0,0.43,True
water + swamp,1,0,1,28,17,11,4,0,9,9,0:100,0.0,0.39,False
fire + swamp,1,0,1,28,17,11,4,0,9,9,0:100,0.0,0.39,False
brick + swamp,1,0,1,13,8,5,8,0,20,20,0:100,0.0,0.38,False
geyser + swamp,1,1,0,15,10,5,7,10,0,10,100:0,inf,1.0,False
swamp + energy,1,1,0,20,10,10,5,10,0,10,100:0,inf,1.0,True
life + lava,1,1,0,4,3,1,25,33,0,33,100:0,inf,1.0,False
fire + life,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,False
life + plant,1,1,0,4,3,1,25,33,0,33,100:0,inf,1.0,False
life + rain,1,1,0,4,3,1,25,33,0,33,100:0,inf,1.0,False
swamp + life,1,1,0,4,3,1,25,33,0,33,100:0,inf,1.0,True
swamp + bacteria,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
mud + bacteria,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
bacteria + brick,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
air + bacteria,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
bacteria + earth,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
bacteria + energy,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
bacteria + wind,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
bacteria + plant,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
lava + bacteria,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
hurricane + bacteria,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
bacteria + steam,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
bacteria + fire,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
water + bacteria,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
life + brick,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
bacteria + geyser,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
bacteria + rain,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
mud + swamp,1,0,1,28,17,11,4,0,9,9,0:100,0.0,0.39,False
brick + hurricane,1,0,1,26,12,14,4,0,7,7,0:100,0.0,1.0,False
air + swamp,1,0,1,28,17,11,4,0,9,9,0:100,0.0,0.39,False
rain + swamp,1,0,1,28,17,11,4,0,9,9,0:100,0.0,0.39,False
wind + swamp,1,0,1,13,6,7,8,0,14,14,0:100,0.0,1.0,False
swamp + earth,1,0,1,28,17,11,4,0,9,9,0:100,0.0,0.39,False
hurricane + swamp,1,1,0,9,4,5,11,25,0,25,100:0,inf,0.44,False
plant + swamp,1,0,1,28,17,11,4,0,9,9,0:100,0.0,0.39,False
lava + obsidian,1,0,1,85,59,26,1,0,4,4,0:100,0.0,0.31,False
bacteria + obsidian,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
obsidian + brick,1,0,1,54,38,16,2,0,6,6,0:100,0.0,0.3,False
obsidian + energy,1,0,1,69,45,24,1,0,4,4,0:100,0.0,0.35,False
obsidian + earth,1,0,1,85,59,26,1,0,4,4,0:100,0.0,0.31,False
mud + obsidian,1,1,0,78,54,24,1,2,0,2,100:0,inf,1.0,False
life + obsidian,1,1,0,3,2,1,33,50,0,50,100:0,inf,1.0,False
obsidian + wind,1,1,0,47,27,20,2,4,0,4,100:0,inf,1.0,False
obsidian + swamp,1,1,0,15,11,4,7,9,0,9,100:0,inf,1.0,False
obsidian + plant,1,0,1,38,24,14,3,0,7,7,0:100,0.0,0.37,False
obsidian + rain,1,0,1,74,51,23,1,0,4,4,0:100,0.0,0.31,False
hurricane + obsidian,1,0,1,31,17,14,3,0,7,7,0:100,0.0,0.45,False
obsidian + steam,1,0,1,81,57,24,1,0,4,4,0:100,0.0,0.3,False
plant + earth,1,0,1,69,39,30,1,0,3,3,0:100,0.0,0.43,True
mud + grass,1,0,1,32,17,15,3,0,7,7,0:100,0.0,0.47,True
life + grass,1,1,0,2,2,0,50,50,0,50,100:0,nan,1.0,False
plant + grass,1,0,1,38,21,17,3,0,6,6,0:100,0.0,0.45,True
grass + garden,1,0,1,21,11,10,5,0,10,10,0:100,0.0,0.48,False
garden + plant,1,0,1,29,17,12,3,0,8,8,0:100,0.0,0.41,True
garden + flower,1,1,0,9,6,3,11,17,0,17,100:0,inf,1.0,False
plant + flower,1,1,0,9,6,3,11,17,0,17,100:0,inf,1.0,False
flower + earth,1,0,1,9,6,3,11,0,33,33,0:100,0.0,0.33,False
energy + flower,1,1,0,7,5,2,14,20,0,20,100:0,inf,1.0,False
grass + flower,1,0,1,7,4,3,14,0,33,33,0:100,0.0,0.43,False
flower + mud,1,1,0,6,5,1,17,20,0,20,100:0,inf,1.0,False
flower + water,1,1,0,9,6,3,11,17,0,17,100:0,inf,1.0,False
life + flower,1,1,0,1,1,0,100,100,0,100,100:0,nan,1.0,False
hurricane + flower,1,1,0,3,2,1,33,50,0,50,100:0,inf,1.0,False
