Combination,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference,Ratio Children:Adults used(%),Fisher's Exact Test,p-Value,Success
pressure + river,1,0,1,7,5,2,14,0,50,50,0:100,0.0,0.29,False
salt + plant,1,0,1,11,6,5,9,0,20,20,0:100,0.0,0.45,False
city + lava,1,0,1,22,14,8,5,0,12,12,0:100,0.0,0.36,False
river + lava,1,0,1,15,13,2,7,0,50,50,0:100,0.0,0.13,False
atmosphere + ocean,1,0,1,13,8,5,8,0,20,20,0:100,0.0,0.38,False
wall + sea,1,0,1,26,15,11,4,0,9,9,0:100,0.0,0.42,False
wind + dew,1,0,1,9,2,7,11,0,14,14,0:100,0.0,1.0,False
mountain range + wind,1,0,1,4,2,2,25,0,50,50,0:100,0.0,1.0,False
river + wall,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,True
dam + sea,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
dam + dam,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
pond + wind,1,0,1,5,0,5,20,0,20,20,0:100,nan,1.0,False
ocean + garden,1,0,1,13,6,7,8,0,14,14,0:100,0.0,1.0,False
ocean + wave,1,0,1,8,5,3,12,0,33,33,0:100,0.0,0.38,False
wave + air,1,0,1,11,6,5,9,0,20,20,0:100,0.0,0.45,True
energy + sound,1,0,1,3,1,2,33,0,50,50,0:100,0.0,1.0,False
house + sound,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
earthquake + sound,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
isle + hurricane,1,0,1,4,2,2,25,0,50,50,0:100,0.0,1.0,False
sound + isle,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
grass + gunpowder,1,0,1,14,8,6,7,0,17,17,0:100,0.0,0.43,False
sound + gunpowder,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
hurricane + sound,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
sound + city,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
wall + wave,1,0,1,6,3,3,17,0,33,33,0:100,0.0,1.0,False
brick + sound,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
wave + mountain range,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
air + mountain range,1,0,1,9,7,2,11,0,50,50,0:100,0.0,0.22,False
house + earth,1,0,1,23,15,8,4,0,12,12,0:100,0.0,0.35,False
city + dam,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
grass + salt,1,0,1,9,4,5,11,0,20,20,0:100,0.0,1.0,False
isle + garden,1,0,1,6,2,4,17,0,25,25,0:100,0.0,1.0,False
windmill + energy,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,False
windmill + sound,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
house + mud,1,0,1,23,15,8,4,0,12,12,0:100,0.0,0.35,False
windmill + wind,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,False
windmill + obsidian,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,False
plant + windmill,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
plant + isle,1,0,1,6,2,4,17,0,25,25,0:100,0.0,1.0,False
algae + wave,1,0,1,3,1,2,33,0,50,50,0:100,0.0,1.0,False
windmill + mud,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,False
sound + village,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
