Element,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference of ratios,Ratio Children:Adults used (%),Fisher's Exact Test,p-Value,# Uses total,# Uses children,# Uses adults,Average uses total,Average uses children,Average uses adults,Difference of ratios,T-test,p-Value
wire,6,0,6,6,0,6,100,0,100,100,0:100,nan,1.0,81,0,81,14,0,14,14,nan,nan
flood,11,0,11,12,0,12,92,0,92,92,0:100,nan,1.0,66,0,66,6,0,6,6,nan,nan
isle,5,0,5,5,0,5,100,0,100,100,0:100,nan,1.0,65,0,65,13,0,13,13,nan,nan
archipelago,5,0,5,5,0,5,100,0,100,100,0:100,nan,1.0,39,0,39,8,0,8,8,nan,nan
sun,7,0,7,7,0,7,100,0,100,100,0:100,nan,1.0,101,0,101,14,0,14,14,nan,nan
rainbow,5,0,5,6,0,6,83,0,83,83,0:100,nan,1.0,45,0,45,8,0,8,8,nan,nan
double rainbow!,2,0,2,2,0,2,100,0,100,100,0:100,nan,1.0,12,0,12,6,0,6,6,nan,nan
wall,10,0,10,11,0,11,91,0,91,91,0:100,nan,1.0,59,0,59,5,0,5,5,nan,nan
house,8,0,8,8,0,8,100,0,100,100,0:100,nan,1.0,94,0,94,12,0,12,12,nan,nan
village,7,0,7,7,0,7,100,0,100,100,0:100,nan,1.0,47,0,47,7,0,7,7,nan,nan
city,8,0,8,8,0,8,100,0,100,100,0:100,nan,1.0,83,0,83,10,0,10,10,nan,nan
coal,5,0,5,5,0,5,100,0,100,100,0:100,nan,1.0,40,0,40,8,0,8,8,nan,nan
dew,10,0,10,11,0,11,91,0,91,91,0:100,nan,1.0,60,0,60,5,0,5,5,nan,nan
life,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,5,0,5,5,0,5,5,nan,nan
plankton,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,2,0,2,2,0,2,2,nan,nan
bird,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,2,0,2,2,0,2,2,nan,nan
duck,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,4,0,4,4,0,4,4,nan,nan
atomic bomb,7,0,7,8,0,8,88,0,88,88,0:100,nan,1.0,78,0,78,10,0,10,10,nan,nan
mountain,5,0,5,5,0,5,100,0,100,100,0:100,nan,1.0,30,0,30,6,0,6,6,nan,nan
mountain range,2,0,2,2,0,2,100,0,100,100,0:100,nan,1.0,11,0,11,6,0,6,6,nan,nan
bullet,3,0,3,3,0,3,100,0,100,100,0:100,nan,1.0,15,0,15,5,0,5,5,nan,nan
grenade,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,4,0,4,4,0,4,4,nan,nan
gun,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,10,0,10,10,0,10,10,nan,nan
boiler,2,0,2,2,0,2,100,0,100,100,0:100,nan,1.0,14,0,14,7,0,7,7,nan,nan
sandstone,4,0,4,4,0,4,100,0,100,100,0:100,nan,1.0,45,0,45,11,0,11,11,nan,nan
blade,7,0,7,7,0,7,100,0,100,100,0:100,nan,1.0,79,0,79,11,0,11,11,nan,nan
scissors,4,0,4,4,0,4,100,0,100,100,0:100,nan,1.0,21,0,21,5,0,5,5,nan,nan
bayonet,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,2,0,2,2,0,2,2,nan,nan
blender,4,0,4,4,0,4,100,0,100,100,0:100,nan,1.0,35,0,35,9,0,9,9,nan,nan
sword,4,0,4,4,0,4,100,0,100,100,0:100,nan,1.0,39,0,39,10,0,10,10,nan,nan
excalibur,4,0,4,4,0,4,100,0,100,100,0:100,nan,1.0,18,0,18,4,0,4,4,nan,nan
scythe,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,7,0,7,7,0,7,7,nan,nan
desert,2,0,2,2,0,2,100,0,100,100,0:100,nan,1.0,22,0,22,11,0,11,11,nan,nan
oasis,2,0,2,2,0,2,100,0,100,100,0:100,nan,1.0,10,0,10,5,0,5,5,nan,nan
hay,4,0,4,4,0,4,100,0,100,100,0:100,nan,1.0,27,0,27,7,0,7,7,nan,nan
diamond,2,0,2,2,0,2,100,0,100,100,0:100,nan,1.0,20,0,20,10,0,10,10,nan,nan
river,2,0,2,2,0,2,100,0,100,100,0:100,nan,1.0,21,0,21,10,0,10,10,nan,nan
paint,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,10,0,10,10,0,10,10,nan,nan
day,3,0,3,3,0,3,100,0,100,100,0:100,nan,1.0,26,0,26,9,0,9,9,nan,nan
skyscraper,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,13,0,13,13,0,13,13,nan,nan
moon,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,19,0,19,19,0,19,19,nan,nan
tide,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,13,0,13,13,0,13,13,nan,nan
night,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,11,0,11,11,0,11,11,nan,nan
eclipse,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,11,0,11,11,0,11,11,nan,nan
gold,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,14,0,14,14,0,14,14,nan,nan
hay bale,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,1,0,1,1,0,1,1,nan,nan
barn,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,2,0,2,2,0,2,2,nan,nan
lake,2,0,2,2,0,2,100,0,100,100,0:100,nan,1.0,16,0,16,8,0,8,8,nan,nan
water lily,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,7,0,7,7,0,7,7,nan,nan
clay,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,12,0,12,12,0,12,12,nan,nan
sandstorm,4,0,4,4,0,4,100,0,100,100,0:100,nan,1.0,22,0,22,6,0,6,6,nan,nan
dam,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,8,0,8,8,0,8,8,nan,nan
windmill,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,14,0,14,14,0,14,14,nan,nan
pyramid,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,5,0,5,5,0,5,5,nan,nan
light bulb,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,8,0,8,8,0,8,8,nan,nan
light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,18,0,18,18,0,18,18,nan,nan
glasses,2,0,2,2,0,2,100,0,100,100,0:100,nan,1.0,7,0,7,4,0,4,4,nan,nan
hourglass,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,5,0,5,5,0,5,5,nan,nan
lighthouse,0,0,0,1,0,1,0,0,0,0,0:0,nan,1.0,0,0,0,0,0,0,0,nan,nan
lightsaber,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,4,0,4,4,0,4,4,nan,nan
sunglasses,0,0,0,1,0,1,0,0,0,0,0:0,nan,1.0,0,0,0,0,0,0,0,nan,nan
