id,trial,inventory,first,second,success,results
3,9,11,156,0,1,[453]
3,10,11,156,376,0,-1
3,11,11,156,325,0,-1
3,12,11,325,1,0,-1
3,13,11,453,1,0,-1
3,14,12,2,453,1,[200]
3,15,12,200,266,0,-1
3,16,13,0,0,1,[409]
3,17,13,1,156,0,-1
3,18,13,8,409,0,-1
3,19,13,364,376,0,-1
3,20,14,2,364,1,[214]
3,21,14,214,376,0,-1
3,22,14,409,453,0,-1
3,23,14,200,214,0,-1
3,24,15,214,364,1,[198]
3,25,15,453,376,0,-1
3,26,16,0,409,1,[326]
3,27,16,376,198,0,-1
3,28,16,198,214,0,-1
3,29,16,325,200,0,-1
3,30,16,1,376,0,-1
3,31,16,156,409,0,-1
3,32,16,266,214,0,-1
3,33,16,2,8,0,-1
3,34,16,200,453,0,-1
3,35,16,214,156,0,-1
3,36,16,214,1,0,-1
3,37,16,198,1,0,-1
3,38,16,156,200,0,-1
3,39,16,325,266,0,-1
3,40,17,266,2,1,[506]
3,41,17,0,506,0,-1
3,42,17,198,3,0,-1
3,43,17,3,8,0,-1
3,44,17,3,326,0,-1
3,45,17,3,364,0,-1
3,46,17,198,326,0,-1
3,47,17,200,506,0,-1
3,48,17,325,506,0,-1
3,49,17,506,506,0,-1
3,50,17,453,453,0,-1
3,51,17,364,364,1,[198]
3,52,17,200,200,0,-1
4,0,5,0,1,1,[453]
4,1,5,453,453,0,-1
4,2,6,2,453,1,[200]
4,3,6,200,1,0,-1
4,4,7,0,2,1,[314]
4,5,7,314,200,0,-1
4,6,7,3,200,0,-1
4,7,7,314,3,0,-1
4,8,8,1,3,1,[156]
4,9,9,156,3,1,[525]
4,10,9,525,314,0,-1
4,11,10,525,156,1,[246]
4,12,10,156,156,0,-1
4,13,10,1,156,0,-1
4,14,10,156,0,1,[453]
4,15,10,525,525,0,-1
4,16,10,200,525,0,-1
4,17,10,200,156,0,-1
4,18,10,453,246,0,-1
4,19,10,200,0,0,-1
4,20,10,1,525,0,-1
4,21,10,2,246,0,-1
4,22,11,3,0,1,[376]
4,23,11,1,376,0,-1
4,24,11,314,0,0,-1
4,25,11,0,246,0,-1
4,26,11,376,0,0,-1
4,27,11,0,453,0,-1
4,28,11,525,0,0,-1
4,29,12,2,1,1,[266]
4,30,12,246,1,0,-1
4,31,12,266,1,0,-1
4,32,13,314,1,1,[62]
4,33,13,266,62,0,-1
4,34,13,3,62,0,-1
4,35,13,62,156,0,-1
4,36,13,200,62,0,-1
4,37,13,314,62,0,-1
4,38,13,376,62,0,-1
4,39,13,525,62,0,-1
4,40,13,62,453,0,-1
4,41,13,266,156,0,-1
4,42,13,246,156,0,-1
4,43,13,376,525,0,-1
4,44,13,266,314,0,-1
4,45,13,266,525,0,-1
4,46,13,525,246,0,-1
4,47,13,376,3,0,-1
4,48,13,266,200,0,-1
4,49,13,266,376,0,-1
4,50,14,376,2,1,[364]
4,51,14,376,364,0,-1
4,52,15,314,364,1,[469]
4,53,15,0,469,0,-1
4,54,15,1,469,0,-1
4,55,15,62,469,0,-1
4,56,15,200,469,0,-1
4,57,16,469,156,1,[273]
4,58,16,273,266,0,-1
4,59,16,1,273,0,-1
4,60,16,273,364,0,-1
4,61,16,273,376,0,-1
4,62,17,469,273,1,[30]
4,63,17,469,30,0,-1
4,64,17,314,30,0,-1
4,65,17,30,62,0,-1
4,66,17,3,30,0,-1
4,67,17,30,2,0,-1
4,68,17,30,156,0,-1
4,69,17,30,525,0,-1
4,70,17,30,364,0,-1
4,71,17,266,30,0,-1
4,72,17,246,30,0,-1
4,73,17,30,453,0,-1
4,74,17,30,1,0,-1
4,75,17,0,30,0,-1
4,76,17,273,62,0,-1
4,77,17,30,200,0,-1
4,78,17,30,376,0,-1
4,79,17,314,469,0,-1
4,80,17,62,246,0,-1
4,81,17,1,453,0,-1
4,82,17,3,469,0,-1
4,83,17,376,469,0,-1
4,84,17,525,469,0,-1
4,85,17,469,2,0,-1
4,86,17,246,469,0,-1
4,87,17,364,469,0,-1
4,88,18,266,0,1,[325]
4,89,18,266,325,0,-1
4,90,18,30,325,0,-1
4,91,18,325,62,0,-1
4,92,18,325,156,0,-1
4,93,18,325,2,0,-1
4,94,18,314,325,0,-1
4,95,18,325,200,0,-1
4,96,18,273,325,0,-1
4,97,18,325,525,0,-1
4,98,18,325,469,0,-1
4,99,18,325,364,0,-1
4,100,18,325,376,0,-1
4,101,18,246,325,0,-1
4,102,18,325,0,0,-1
4,103,18,3,325,0,-1
4,104,18,325,453,0,-1
4,105,19,364,2,1,[214]
4,106,19,314,214,1,[469]
4,107,19,273,214,0,-1
4,108,19,214,156,0,-1
4,109,20,364,214,1,[198]
4,110,20,214,198,0,-1
4,111,21,198,364,1,[181]
4,112,21,198,181,0,-1
4,113,21,364,181,0,-1
4,114,21,181,2,0,-1
4,115,21,156,181,0,-1
4,116,21,214,181,0,-1
4,117,21,181,314,0,-1
4,118,21,181,0,0,-1
4,119,21,273,181,0,-1
4,120,21,246,181,0,-1
4,121,21,181,1,0,-1
4,122,21,181,325,0,-1
4,123,21,181,30,0,-1
4,124,21,181,62,0,-1
4,125,21,181,200,0,-1
4,126,21,181,3,0,-1
4,127,21,266,181,0,-1
4,128,21,181,376,0,-1
4,129,21,214,30,0,-1
4,130,21,198,314,0,-1
4,131,21,469,181,0,-1
4,132,21,181,453,0,-1
4,133,21,181,525,0,-1
4,134,21,198,246,0,-1
4,135,21,266,246,0,-1
4,136,21,200,214,0,-1
4,137,21,1,62,0,-1
4,138,21,62,214,0,-1
4,139,21,214,266,0,-1
5,0,5,0,1,1,[453]
5,1,6,453,3,1,[104]
5,2,7,2,104,1,[185]
5,3,8,3,104,1,[424]
5,4,8,185,185,0,-1
5,5,8,424,185,0,-1
5,6,8,424,453,0,-1
5,7,9,424,1,1,[462]
5,8,10,424,462,1,[125]
5,9,10,462,125,0,-1
5,10,10,3,125,0,-1
5,11,10,104,1,0,-1
5,12,10,462,2,0,-1
5,13,11,2,3,1,[144]
5,14,11,2,144,0,-1
5,15,11,144,104,0,-1
5,16,11,125,144,0,-1
5,17,12,1,2,1,[266]
5,18,12,125,266,0,-1
5,19,12,266,462,0,-1
5,20,13,266,3,1,[458]
5,21,13,462,458,0,-1
5,22,13,144,458,0,-1
5,23,13,458,458,0,-1
5,24,13,458,266,0,-1
5,25,13,104,458,0,-1
5,26,13,266,144,0,-1
5,27,14,458,1,1,[294]
5,28,14,266,294,0,-1
5,29,14,294,144,0,-1
5,30,15,294,462,1,[211]
5,31,15,125,211,0,-1
6,0,5,0,2,1,[314]
6,1,6,1,0,1,[453]
6,2,6,314,453,0,-1
6,3,7,2,3,1,[144]
6,4,7,144,0,0,-1
6,5,8,2,1,1,[266]
6,6,8,0,314,0,-1
6,7,9,0,0,1,[409]
6,8,10,266,0,1,[325]
6,9,10,453,409,0,-1
6,10,10,2,325,0,-1
6,11,10,409,2,0,-1
6,12,11,3,1,1,[156]
6,13,12,3,0,1,[376]
6,14,12,453,376,0,-1
6,15,12,409,156,0,-1
6,16,13,409,1,1,[396]
6,17,13,396,144,0,-1
6,18,13,325,3,0,-1
7,0,5,0,1,1,[453]
7,1,6,3,2,1,[144]
7,2,7,2,1,1,[266]
7,3,8,0,266,1,[325]
7,4,8,453,144,0,-1
7,5,8,2,325,0,-1
7,6,9,2,266,1,[506]
7,7,9,144,3,0,-1
7,8,10,0,2,1,[314]
7,9,11,1,314,1,[62]
7,10,11,0,506,0,-1
7,11,11,0,325,0,-1
7,12,11,266,144,0,-1
7,13,11,453,506,0,-1
7,14,11,1,325,0,-1
7,15,11,3,506,0,-1
7,16,11,314,2,0,-1
8,0,5,0,3,1,[376]
8,1,6,1,0,1,[453]
8,2,6,376,3,0,-1
8,3,7,1,3,1,[156]
8,4,7,156,1,0,-1
8,5,8,2,156,1,[147]
8,6,8,3,147,0,-1
8,7,8,156,147,0,-1
8,8,8,156,376,0,-1
8,9,8,156,453,0,-1
8,10,9,2,147,1,[309]
8,11,9,309,3,0,-1
8,12,10,309,0,1,[382]
8,13,10,382,382,0,-1
8,14,10,382,376,0,-1
8,15,10,382,1,0,-1
8,16,10,382,0,0,-1
8,17,10,309,453,0,-1
8,18,10,147,309,0,-1
8,19,10,309,156,0,-1
8,20,11,376,376,1,[179]
8,21,11,179,147,0,-1
8,22,11,382,179,0,-1
8,23,11,0,179,0,-1
8,24,11,179,376,0,-1
8,25,11,2,179,0,-1
8,26,11,156,179,0,-1
8,27,11,382,453,0,-1
8,28,11,179,3,0,-1
8,29,12,3,3,1,[369]
8,30,12,1,1,0,-1
8,31,12,2,2,1,[369]
8,32,13,0,0,1,[409]
8,33,13,147,147,0,-1
8,34,13,156,156,0,-1
8,35,13,179,179,0,-1
8,36,14,309,309,1,[311]
8,37,14,311,311,0,-1
8,38,14,369,369,0,-1
8,39,15,409,409,1,[326]
8,40,15,326,326,0,-1
8,41,15,453,453,0,-1
8,42,15,326,382,0,-1
8,43,15,326,0,0,-1
8,44,16,1,326,1,[396]
8,45,16,2,326,0,-1
8,46,16,3,326,0,-1
8,47,17,147,326,1,[494]
8,48,17,309,326,0,-1
8,49,17,311,326,0,-1
8,50,17,369,326,0,-1
8,51,17,376,326,0,-1
8,52,17,326,396,0,-1
8,53,17,326,409,0,-1
8,54,17,453,326,0,-1
8,55,17,326,494,0,-1
8,56,17,494,494,0,-1
8,57,17,396,396,0,-1
9,0,5,0,1,1,[453]
9,1,5,453,0,0,-1
9,2,6,2,0,1,[314]
9,3,6,314,2,0,-1
9,4,7,3,2,1,[144]
9,5,8,144,1,1,[223]
9,6,8,223,144,0,-1
9,7,9,2,453,1,[200]
9,8,9,0,200,0,-1
9,9,9,200,1,0,-1
9,10,10,0,0,1,[409]
9,11,10,453,409,0,-1
9,12,10,1,1,0,-1
9,13,10,3,144,0,-1
9,14,11,3,3,1,[369]
10,0,5,0,1,1,[453]
10,1,6,2,1,1,[266]
10,2,7,3,266,1,[458]
10,3,7,266,458,0,-1
10,4,7,0,453,0,-1
10,5,8,0,266,1,[325]
10,6,8,325,453,0,-1
10,7,9,1,458,1,[294]
10,8,10,294,453,1,[57]
10,9,10,57,294,0,-1
10,10,10,458,458,0,-1
10,11,10,3,57,0,-1
10,12,10,1,294,0,-1
10,13,10,57,325,0,-1
10,14,10,0,57,0,-1
10,15,11,453,3,1,[104]
10,16,11,104,453,0,-1
10,17,11,104,266,0,-1
10,18,11,104,1,0,-1
10,19,12,0,104,1,[376]
10,20,12,376,104,0,-1
10,21,12,376,453,0,-1
10,22,12,376,0,0,-1
10,23,12,376,1,0,-1
10,24,12,294,376,0,-1
10,25,13,104,3,1,[424]
10,26,13,424,0,0,-1
10,27,14,424,1,1,[462]
10,28,14,462,0,0,-1
10,29,14,462,1,0,-1
10,30,15,462,424,1,[125]
10,31,15,125,376,0,-1
10,32,15,104,104,0,-1
10,33,15,104,125,0,-1
10,34,15,3,125,0,-1
10,35,15,458,376,0,-1
10,36,15,3,462,0,-1
10,37,15,125,453,0,-1
10,38,15,458,2,0,-1
10,39,15,266,424,0,-1
10,40,15,424,376,0,-1
10,41,15,1,57,0,-1
10,42,15,125,125,0,-1
10,43,15,125,462,0,-1
10,44,15,424,125,0,-1
10,45,15,3,0,1,[376]
10,46,15,376,266,0,-1
10,47,15,325,424,0,-1
11,0,5,0,0,1,[409]
11,1,6,1,409,1,[396]
11,2,6,396,2,0,-1
11,3,7,2,3,1,[144]
11,4,8,2,2,1,[369]
11,5,8,396,396,0,-1
11,6,8,409,144,0,-1
11,7,9,3,1,1,[156]
11,8,10,0,156,1,[453]
11,9,10,453,453,0,-1
11,10,10,453,144,0,-1
11,11,11,1,2,1,[266]
11,12,11,0,1,1,[453]
11,13,12,3,266,1,[458]
11,14,13,2,156,1,[147]
11,15,14,2,147,1,[309]
11,16,15,309,309,1,[311]
11,17,15,458,147,0,-1
11,18,15,156,369,0,-1
11,19,15,266,266,0,-1
11,20,15,147,309,0,-1
12,0,5,0,1,1,[453]
12,1,6,453,3,1,[104]
12,2,6,104,453,0,-1
12,3,7,2,453,1,[200]
12,4,7,0,200,0,-1
12,5,7,2,200,0,-1
12,6,7,453,453,0,-1
12,7,7,453,200,0,-1
12,8,7,3,200,0,-1
12,9,8,3,104,1,[424]
12,10,8,104,424,0,-1
12,11,8,0,424,0,-1
12,12,8,424,3,0,-1
12,13,8,424,453,0,-1
12,14,9,3,3,1,[369]
12,15,9,369,104,0,-1
12,16,9,369,2,0,-1
12,17,10,424,369,1,[24]
12,18,10,24,369,0,-1
12,19,10,24,424,0,-1
12,20,10,3,24,0,-1
12,21,10,24,453,0,-1
12,22,10,24,1,0,-1
12,23,10,104,24,0,-1
12,24,10,24,24,0,-1
12,25,10,2,24,0,-1
12,26,10,369,369,0,-1
13,0,5,0,3,1,[376]
13,1,5,376,3,0,-1
13,2,6,376,2,1,[364]
13,3,7,1,2,1,[266]
13,4,8,2,0,1,[314]
13,5,9,364,0,1,[8]
13,6,9,364,376,0,-1
13,7,9,0,8,0,-1
13,8,9,314,376,0,-1
13,9,10,1,3,1,[156]
13,10,11,0,156,1,[453]
13,11,11,453,0,0,-1
13,12,11,8,364,0,-1
13,13,11,2,8,0,-1
13,14,12,156,2,1,[147]
13,15,13,147,2,1,[309]
13,16,13,309,147,0,-1
13,17,14,309,266,1,[506]
13,18,14,506,266,0,-1
13,19,14,8,453,0,-1
13,20,14,506,147,0,-1
13,21,14,0,1,1,[453]
13,22,14,3,309,0,-1
13,23,14,506,2,0,-1
13,24,14,156,266,0,-1
13,25,14,156,147,0,-1
13,26,14,156,1,0,-1
13,27,14,8,156,0,-1
13,28,14,8,1,0,-1
13,29,14,453,453,0,-1
13,30,14,453,506,0,-1
13,31,15,2,453,1,[200]
13,32,15,200,453,0,-1
13,33,15,200,0,0,-1
13,34,15,3,200,0,-1
13,35,15,314,266,0,-1
13,36,15,200,156,0,-1
13,37,15,309,200,0,-1
13,38,15,376,200,0,-1
13,39,15,1,453,0,-1
13,40,16,0,266,1,[325]
13,41,16,506,325,0,-1
13,42,16,325,147,0,-1
13,43,16,325,1,0,-1
13,44,16,506,1,0,-1
13,45,16,200,325,0,-1
13,46,16,325,453,0,-1
14,0,5,1,0,1,[453]
14,1,6,453,3,1,[104]
14,2,7,104,0,1,[376]
14,3,8,2,1,1,[266]
14,4,8,3,376,0,-1
14,5,9,0,2,1,[314]
14,6,9,104,376,0,-1
14,7,10,266,2,1,[506]
14,8,11,314,1,1,[62]
14,9,11,506,3,0,-1
14,10,12,266,0,1,[325]
14,11,12,314,62,0,-1
14,12,13,2,104,1,[185]
14,13,13,506,314,0,-1
14,14,13,453,104,0,-1
14,15,13,314,3,0,-1
14,16,13,62,506,0,-1
14,17,13,62,266,0,-1
14,18,13,3,185,0,-1
14,19,13,0,62,0,-1
14,20,13,104,314,0,-1
14,21,13,2,325,0,-1
14,22,13,266,104,0,-1
14,23,13,0,506,0,-1
14,24,13,314,2,0,-1
14,25,13,104,506,0,-1
14,26,13,325,62,0,-1
15,0,5,1,2,1,[266]
15,1,6,266,0,1,[325]
15,2,6,325,2,0,-1
15,3,7,0,2,1,[314]
15,4,7,314,314,0,-1
15,5,7,314,0,0,-1
15,6,7,3,314,0,-1
15,7,8,0,1,1,[453]
15,8,8,453,266,0,-1
15,9,9,453,2,1,[200]
15,10,9,200,266,0,-1
15,11,9,200,1,0,-1
15,12,9,200,325,0,-1
15,13,10,0,3,1,[376]
15,14,10,1,1,0,-1
15,15,10,200,376,0,-1
15,16,11,2,376,1,[364]
15,17,12,1,364,1,[484]
15,18,12,2,484,0,-1
15,19,12,0,484,0,-1
15,20,12,266,364,0,-1
15,21,13,2,2,1,[369]
15,22,13,200,369,0,-1
15,23,14,3,369,1,[24]
15,24,14,200,24,0,-1
15,25,14,3,24,0,-1
15,26,14,1,24,0,-1
15,27,14,24,0,0,-1
15,28,14,24,369,0,-1
15,29,15,364,0,1,[8]
15,30,15,0,8,0,-1
15,31,15,8,8,0,-1
15,32,15,8,369,0,-1
15,33,15,2,8,0,-1
15,34,15,8,3,0,-1
15,35,15,8,266,0,-1
15,36,15,1,369,0,-1
15,37,16,376,376,1,[179]
15,38,16,8,179,0,-1
15,39,16,369,179,0,-1
15,40,17,266,2,1,[506]
15,41,17,24,453,0,-1
15,42,17,314,8,0,-1
15,43,18,2,364,1,[214]
15,44,18,2,214,0,-1
15,45,19,314,214,1,[469]
15,46,19,0,506,0,-1
15,47,19,484,506,0,-1
15,48,19,376,506,0,-1
15,49,19,506,453,0,-1
15,50,19,506,179,0,-1
15,51,19,266,179,0,-1
15,52,19,0,469,0,-1
15,53,19,469,1,0,-1
16,0,5,1,0,1,[453]
16,1,6,3,2,1,[144]
16,2,6,144,2,0,-1
16,3,7,453,2,1,[200]
16,4,7,200,453,0,-1
16,5,8,2,1,1,[266]
16,6,8,0,144,0,-1
16,7,8,266,1,0,-1
16,8,9,3,266,1,[458]
16,9,10,458,1,1,[294]
16,10,11,294,3,1,[390]
16,11,11,390,2,0,-1
16,12,12,3,0,1,[376]
16,13,12,200,0,0,-1
16,14,12,2,294,0,-1
16,15,12,390,200,0,-1
16,16,12,0,390,0,-1
16,17,12,294,200,0,-1
16,18,12,376,200,0,-1
16,19,12,458,458,0,-1
16,20,12,453,390,0,-1
16,21,12,376,144,0,-1
16,22,12,266,200,0,-1
16,23,13,2,266,1,[506]
16,24,13,200,506,0,-1
16,25,13,506,1,0,-1
16,26,13,506,0,0,-1
16,27,13,294,390,0,-1
16,28,13,506,3,0,-1
16,29,13,294,506,0,-1
16,30,13,376,506,0,-1
16,31,13,453,506,0,-1
16,32,13,506,458,0,-1
17,0,5,3,2,1,[144]
17,1,5,2,144,0,-1
17,2,6,1,144,1,[223]
17,3,6,144,223,0,-1
17,4,7,0,3,1,[376]
17,5,7,3,376,0,-1
17,6,8,1,2,1,[266]
17,7,8,266,1,0,-1
17,8,8,0,376,0,-1
17,9,8,223,266,0,-1
17,10,9,1,223,1,[160]
17,11,9,1,160,0,-1
17,12,9,2,160,0,-1
17,13,9,144,160,0,-1
17,14,9,266,160,0,-1
17,15,10,3,3,1,[369]
17,16,11,266,369,1,[213]
17,17,11,160,213,0,-1
17,18,11,144,213,0,-1
17,19,11,213,2,0,-1
17,20,11,0,213,0,-1
17,21,11,369,144,0,-1
17,22,12,0,1,1,[453]
17,23,13,3,453,1,[104]
17,24,13,104,0,1,[376]
17,25,13,104,453,0,-1
17,26,13,160,369,0,-1
17,27,14,104,3,1,[424]
17,28,14,104,223,0,-1
17,29,14,453,266,0,-1
17,30,14,424,104,0,-1
17,31,15,2,266,1,[506]
17,32,16,424,369,1,[24]
17,33,16,506,24,0,-1
17,34,16,160,24,0,-1
17,35,16,266,506,0,-1
17,36,16,213,3,0,-1
17,37,16,160,506,0,-1
17,38,16,213,104,0,-1
17,39,16,2,506,0,-1
17,40,16,160,223,0,-1
17,41,16,424,24,0,-1
17,42,16,223,506,0,-1
17,43,16,453,24,0,-1
17,44,16,3,24,0,-1
17,45,16,104,376,0,-1
17,46,16,424,506,0,-1
17,47,16,1,104,0,-1
17,48,16,424,424,0,-1
17,49,16,369,24,0,-1
17,50,16,376,506,0,-1
17,51,16,266,213,0,-1
17,52,16,223,2,0,-1
17,53,16,453,453,0,-1
17,54,16,506,453,0,-1
17,55,16,213,453,0,-1
17,56,16,376,144,0,-1
17,57,16,369,453,0,-1
18,0,5,3,2,1,[144]
18,1,5,0,144,0,-1
18,2,6,1,2,1,[266]
18,3,7,3,266,1,[458]
18,4,7,266,458,0,-1
18,5,8,266,0,1,[325]
18,6,9,266,2,1,[506]
18,7,9,458,506,0,-1
18,8,9,506,325,0,-1
18,9,9,0,325,0,-1
18,10,9,144,506,0,-1
18,11,10,2,0,1,[314]
18,12,10,314,144,0,-1
18,13,10,314,506,0,-1
18,14,11,314,1,1,[62]
18,15,11,62,266,0,-1
18,16,11,3,144,0,-1
18,17,11,325,62,0,-1
18,18,11,314,62,0,-1
18,19,11,2,458,0,-1
18,20,12,3,1,1,[156]
18,21,12,156,1,0,-1
18,22,12,156,266,0,-1
18,23,12,156,325,0,-1
18,24,12,156,144,0,-1
18,25,13,1,0,1,[453]
18,26,13,453,156,0,-1
18,27,14,3,156,1,[525]
18,28,14,314,525,0,-1
18,29,14,525,0,0,-1
18,30,14,1,525,0,-1
18,31,14,266,525,0,-1
18,32,14,62,156,0,-1
18,33,14,453,506,0,-1
18,34,14,525,506,0,-1
18,35,15,506,156,1,[22]
18,36,15,22,156,0,-1
