id,trial,inventory,first,second,success,results
0,0,5,0,1,1,[453]
0,1,6,3,2,1,[144]
0,2,7,1,3,1,[156]
0,3,7,156,453,0,-1
0,4,7,0,156,1,[453]
0,5,8,2,156,1,[147]
0,6,8,147,0,0,-1
0,7,8,1,453,0,-1
0,8,9,0,2,1,[314]
0,9,9,453,314,0,-1
0,10,9,147,314,0,-1
0,11,9,144,147,0,-1
0,12,9,156,314,0,-1
0,13,10,0,3,1,[376]
0,14,10,0,144,0,-1
0,15,10,0,314,0,-1
0,16,10,0,453,0,-1
0,17,10,314,376,0,-1
0,18,11,1,2,1,[266]
0,19,12,266,0,1,[325]
0,20,12,325,0,0,-1
0,21,12,376,325,0,-1
0,22,12,147,325,0,-1
0,23,12,147,266,0,-1
0,24,13,266,3,1,[458]
0,25,13,147,458,0,-1
0,26,14,1,458,1,[294]
0,27,15,294,156,1,[154]
0,28,15,0,154,0,-1
0,29,15,458,154,0,-1
0,30,15,1,294,0,-1
0,31,15,294,266,0,-1
0,32,15,294,325,0,-1
1,0,5,1,0,1,[453]
1,1,6,1,3,1,[156]
1,2,7,2,0,1,[314]
1,3,7,0,314,0,-1
1,4,7,156,0,1,[453]
1,5,7,1,453,0,-1
1,6,8,1,2,1,[266]
1,7,8,1,156,0,-1
1,8,8,1,266,0,-1
1,9,9,1,314,1,[62]
1,10,9,1,62,0,-1
1,11,10,0,3,1,[376]
1,12,10,0,62,0,-1
1,13,11,0,266,1,[325]
1,14,11,0,325,0,-1
1,15,11,0,376,0,-1
1,16,11,0,453,0,-1
1,17,12,2,3,1,[144]
1,18,12,3,62,0,-1
1,19,12,3,144,0,-1
1,20,13,3,156,1,[525]
1,21,14,3,266,1,[458]
1,22,14,3,314,0,-1
1,23,14,3,325,0,-1
1,24,14,3,376,0,-1
1,25,15,3,453,1,[104]
1,26,16,3,458,1,[397]
1,27,16,3,397,0,-1
1,28,16,3,525,0,-1
1,29,16,1,525,0,-1
1,30,17,1,458,1,[294]
1,31,17,1,294,0,-1
1,32,18,1,397,1,[206]
1,33,18,1,376,0,-1
1,34,18,1,325,0,-1
1,35,18,1,206,0,-1
1,36,19,206,206,1,[207]
1,37,20,206,0,1,[18]
1,38,20,294,207,0,-1
1,39,21,0,0,1,[409]
1,40,21,1,1,0,-1
1,41,22,2,2,1,[369]
1,42,22,3,3,1,[369]
1,43,22,18,18,0,-1
1,44,23,62,62,1,[509]
1,45,24,509,509,1,[243]
1,46,25,243,243,1,[505]
1,47,26,505,505,1,[101]
1,48,26,101,101,0,-1
1,49,26,104,104,0,-1
1,50,26,144,144,0,-1
1,51,26,453,104,0,-1
1,52,27,3,104,1,[424]
1,53,27,376,104,0,-1
1,54,28,156,104,1,[459]
1,55,28,459,459,0,-1
1,56,28,376,459,0,-1
1,57,28,156,156,0,-1
1,58,28,207,207,0,-1
1,59,28,266,266,0,-1
1,60,28,294,294,0,-1
1,61,28,314,314,0,-1
1,62,28,325,325,0,-1
1,63,28,369,369,0,-1
1,64,29,376,376,1,[179]
1,65,30,397,397,1,[126]
1,66,30,126,126,0,-1
1,67,31,409,409,1,[326]
1,68,31,326,326,0,-1
1,69,31,314,2,0,-1
1,70,31,179,179,0,-1
1,71,31,314,179,0,-1
1,72,31,376,397,0,-1
1,73,32,409,424,1,[238]
1,74,32,238,238,0,-1
1,75,32,104,238,0,-1
1,76,32,459,238,0,-1
1,77,32,104,459,0,-1
1,78,32,458,458,0,-1
1,79,32,2,458,0,-1
1,80,33,294,458,1,[52]
1,81,34,52,52,1,[406]
1,82,34,406,406,0,-1
1,83,34,458,406,0,-1
1,84,34,62,406,0,-1
1,85,34,314,406,0,-1
1,86,34,453,369,0,-1
1,87,34,1,369,0,-1
1,88,34,0,369,0,-1
1,89,34,144,126,0,-1
1,90,34,376,144,0,-1
1,91,34,156,144,0,-1
1,92,34,206,207,0,-1
1,93,34,525,525,0,-1
1,94,34,459,525,0,-1
1,95,34,326,0,0,-1
1,96,34,243,156,0,-1
1,97,34,101,156,0,-1
1,98,34,126,397,0,-1
1,99,34,0,18,0,-1
1,100,34,52,18,0,-1
1,101,34,52,144,0,-1
1,102,34,206,179,0,-1
1,103,34,238,207,0,-1
1,104,34,406,294,0,-1
1,105,34,294,325,0,-1
1,106,34,52,325,0,-1
1,107,34,376,424,0,-1
1,108,34,238,424,0,-1
1,109,34,144,2,0,-1
1,110,34,326,144,0,-1
1,111,34,0,144,0,-1
1,112,34,406,0,0,-1
1,113,34,424,0,0,-1
1,114,34,505,0,0,-1
1,115,34,509,0,0,-1
1,116,34,294,509,0,-1
1,117,34,206,525,0,-1
1,118,34,62,509,0,-1
1,119,34,266,156,0,-1
2,0,5,0,0,1,[409]
2,1,6,409,1,1,[396]
2,2,7,3,2,1,[144]
2,3,7,144,396,0,-1
2,4,7,409,396,0,-1
2,5,8,3,1,1,[156]
2,6,9,0,156,1,[453]
2,7,10,3,453,1,[104]
2,8,11,3,104,1,[424]
2,9,11,424,424,0,-1
2,10,12,2,424,1,[238]
2,11,12,104,144,0,-1
2,12,12,238,156,0,-1
2,13,12,238,238,0,-1
2,14,13,104,0,1,[376]
2,15,13,104,1,0,-1
2,16,13,104,104,0,-1
2,17,14,104,2,1,[185]
2,18,14,376,185,0,-1
2,19,14,238,185,0,-1
2,20,14,185,185,0,-1
2,21,14,185,3,0,-1
2,22,14,185,453,0,-1
2,23,14,453,238,0,-1
2,24,14,396,376,0,-1
2,25,14,424,396,0,-1
2,26,14,453,156,0,-1
2,27,14,424,238,0,-1
2,28,14,453,453,0,-1
2,29,14,376,453,0,-1
2,30,15,3,3,1,[369]
2,31,15,144,144,0,-1
2,32,15,156,156,0,-1
2,33,15,369,376,0,-1
2,34,15,156,369,0,-1
2,35,15,409,369,0,-1
2,36,15,369,1,0,-1
2,37,15,369,0,0,-1
2,38,15,369,369,0,-1
2,39,15,238,369,0,-1
2,40,15,369,104,0,-1
2,41,15,453,369,0,-1
2,42,16,424,369,1,[24]
2,43,16,24,104,0,-1
2,44,16,24,409,0,-1
2,45,16,24,3,0,-1
2,46,16,1,24,0,-1
2,47,16,156,24,0,-1
2,48,16,24,24,0,-1
2,49,16,396,24,0,-1
2,50,16,369,24,0,-1
2,51,16,238,409,0,-1
2,52,16,396,104,0,-1
2,53,16,24,144,0,-1
2,54,16,238,24,0,-1
2,55,17,156,104,1,[459]
2,56,17,24,459,0,-1
2,57,17,424,459,0,-1
2,58,17,453,459,0,-1
2,59,17,369,459,0,-1
2,60,17,459,3,0,-1
2,61,17,459,1,0,-1
2,62,17,459,0,0,-1
2,63,17,459,156,0,-1
2,64,17,459,459,0,-1
2,65,17,0,376,0,-1
2,66,17,376,1,0,-1
2,67,17,0,1,1,[453]
2,68,17,396,459,0,-1
2,69,17,459,2,0,-1
2,70,17,459,104,0,-1
2,71,17,459,238,0,-1
2,72,17,459,185,0,-1
2,73,17,459,144,0,-1
2,74,17,144,156,0,-1
2,75,17,459,409,0,-1
3,0,5,0,3,1,[376]
3,1,6,1,2,1,[266]
3,2,7,2,376,1,[364]
3,3,8,364,0,1,[8]
3,4,8,8,0,0,-1
3,5,9,3,1,1,[156]
3,6,10,1,0,1,[453]
3,7,11,266,0,1,[325]
3,8,11,156,453,0,-1
